Kanji,Reading,Konyumi,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
魚,"GYO, RYOU","sakana, uo","fishes, seafoods, sea animals",魚介類,ぎょかいるい,"marine products, seafood",魚屋,さかなや,"fish market, fish dealer",熱帯魚,ねったいぎょ,tropical fish,魚屋,さかなや,fish market
人,"JIN, NIN",hito,person,人口,じんこう,population,人工,じんこう,"artificial, man-made",人気,にんき,popular,人生,じんせい,human life
入,NYUU,"i-ru, i-reru, hai-ru","enter, insert",収入,しゅうにゅう,"income, receipts, revenue",入る,はいる,to enter,侵入,しんにゅう,"invasion, incursion",入札,にゅうさつ,"bid, tender, bidding"
火,KA,hi,fire,火熱,かねつ,heat from a flame,火山,かざん,volcano,火災,かさい,"conflagration, fire",火花,ひばな,spark
六,ROKU,mu-ttsu,six,六月,ろくがつ,june,六角,ろっかく,hexagon,甚六,じんろく,"dunce, blockhead",六つ,むっつ,six
八,HACHI,"ya-ttsu, ya",eight,八丁,はっちょう,skillfulness,八月,はちがつ,august,八面,はちめん,"eight faces, all sides",八つ,やっつ,eight
穴,KETSU,ana,"hole, aperture",穴隙,けつげき,"crevice, aperture",墓穴,ぼけつ,grave pit,経穴,けいけつ,acupuncture point,穴場,あなば,little-known good place
犬 ,KEN,inu,dog,愛犬,あいけん,pet dog,子犬,こいぬ,puppy,猟犬,りょうけん,hunting dog,柴犬,しばいぬ,shiba inu 
大,"DAI, TAI",oo-kii,"big, large",莫大,ばくだい,"vast, huge",大通り,おおどおり,main street,大使,たいし,ambassador,大勢,おおぜい,crowd of people
士,SHI,samurai,"gentleman, scholar, samurai",兵士,へいし,soldier,同士,どうし,"fellow, companion",博士,はかせ,expert. phd,会計士,かいけいし,accountant
土,"DO, TO",tsuchi,"soil, earth, ground",土地,とち,"plot of land, lot, soil",風土,ふうど,natural features,土産,みやげ,"local specialty, souvenir",粘土,ねんど,clay
仕,"SHI, JI",tsuka-eru,"service, attend, doing",仕事,しごと,work,仕様,しよう,"way, method, means",奉仕,ほうし,"service, ministry",仕送り,しおくり,"allowance, remittance"
乙,OTSU,oto,the latter,甲乙,こうおつ,first and second,乙仲,おつなか,chartering broker,乙種,おつしゅ,second-class,乙姫,おとひめ,younger princess​
己,"KO, KI",onore,self,己,じこ,"self, oneself",利己,りこ,self-interest​,知己,ちき,acquaintance,克己,こっき,"self denial, self control"
忌,KI,"i-mu, i-mawashii",mourning,忌中,きちゅう,mourning,忌憚,きたん,"reserve, modesty",忌避,きひ,"evasion, avoidance",忌まわしい,いまわしい,"unpleasant, disagreeable"
日,"NICHI, JITSU","hi, bi, ka","day, sun, japan",日給,にっきゅう,daily wage,本日,ほんじつ,today,日の出,ひので,sunrise,日付,ひづけ,"date, dating"
白,"HAKU, BYAKU",shiro,white,白い,しろい,white,面白い,おもしろい,interesting,真っ白,まっしろ,pure white​,明白,めいはく,"obvious, clear"
百,"HYAKU, BYAKU",momo,hundred,百貨店,ひゃっかてん,department store,何百,なんびゃく,hundreds,八百屋,やおや,greengrocer,数百,すうひゃく,several hundreds​
疑,GI,utaga-u,"doubt, distrust, question",疑問,ぎもん,"doubt, question",疑う,うたがう,"to doubt, distrust",疑惑,ぎわく,"doubt, misgivings",疑念,ぎねん,"doubt, suspicion"
擬,GI,"maga-i, modo-ki","imitate, mimic",模擬,もぎ,imitation,擬態,ぎたい,mimicry,模擬店,もぎてん,refreshment booth,偽装,ぎそう,"camouflage, disguise"
凝,GYOU,"ko-ru, kora-su","congeal, freeze, stiff",凝固,ぎょうこ,coagulation,凝る,こる,"grow stiff, absorbed in",凝った,こった,"elaborate, exquisite",凝縮,ぎょうしゅく,condensation
貸,TAI,ka-su,"rent out, lend",貸与,たいよ,"lend, loan",貸家,かしや,house for rent,貸す,かす,to lend、loan,賃貸,ちんたい,"lease, rent, hire"
賃,CHIN,.,"fare, fee, hire, rent",運賃,うんちん,passenger fare,賃金,ちんぎん,"wages, pay, rental payment",家賃,やちん,rent,賃上げ,ちんあげ,"wage increase, pay rise"
貨,KA,.,"freight, goods, property",硬貨,こうか,coin,通貨,つうか,currency,貨物,かもつ,"cargo, freight",雑貨,ざっか,"miscellaneous goods, general goods"
費,HI,tsui-yasu,"expense, cost, spend, consume",経費,けいひ,"expenses, expenditure",浪費,ろうひ,"waste, extravagance",費やす,ついやす,"to spend, expend, consume",消費者,しょうひしゃ,consumer
貧,"HIN, BIN",mazu-shii,"poverty, poor",貧困,ひんこん,"poverty, need, destitution",貧乏,びんぼう,"poverty-stricken, destitute, poor",貧しい,まずしい,"poor, needy",貧血,ひんけつ,anemia
資,SHI,.,"assets, resources, capital, funds",資源,しげん,resources,資本,しほん,"funds, capital",資料,しりょう,"materials, data, document",投資,とうし,investment
