Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
影,EI,kage,shadow,影,かげ,"shadow, silhouette, figure",撮影,さつえい,photography,影響,えいきょう,"influence, effect, impact"
眼,GAN,"me, manako",eyeball,眼鏡,めがね,eyeglasses,近眼,きんがん,nearsightedness,肉眼,にくがん,naked eye
企,KI,"kuwada, takura","undertake, scheme, plan",企てる,くわだてる,"to plan, plot, propose, design",企む,たくらむ,"to scheme, plan, play a trick",企画,きかく,"planning, plan, project"
津,SHIN,tsu,"haven, port, harbour, inlet",津波,つなみ,tsunami,興味津々,きょうみしんしん,very interesting,津液,しんえき,"saliva, spit"
案,AN,.,"plan, proposal",案内,あんない,"guidance, leading",提案,ていあん,proposal,案外,あんがい,"unexpectedly, surprisingly"
策,SAKU,.,"scheme, plan, policy, means",政策,せいさく,"political measures, policy",対策,たいさく,countermeasure,失策,しっさく,"blunder, slip, error"
宗,"SHUU, SOU",.,"religion, sect",宗教,しゅうきょう,religion,宗派,しゅうは,"sect, denomination",宗門,しゅうもん,"denomination, sect"
提,TEI,sa,"submit, propose, take along",前提,ぜんてい,"condition, prerequisite, premise",提出,ていしゅつ,"presentation, submission",提供,ていきょう,"offer, tender, providing, donating"
昭,SHOU,.,"shining, bright",昭和,しょうわ,Shōwa era,昭昭,しょうしょう,"clear, bright, obvious",昭示,しょうじ, explicit statement
密,MITSU,.,secrecy,秘密,ひみつ,"secret, secrecy, confidentiality",密接,みっせつ,"close, intimate, near",厳密,げんみつ,"strict, close, precise"
司,SHI,tsukasado,administer,司会,しかい,leading a meeting,上司,じょうし,"superior, boss",司る,つかさどる,"to rule, govern, administer​"
