Sentences,Translation
常連さんが いなくなったら いなくなったで,"If the regulars disappear, so do we."
静けさが際立つ,The quietness is noticeable.
ほら　店の前にいる,She's in front of the store.
あっ ここ 長そうですね,This place looks long.
いえ　全然　大したことないわよ,"No, not at all. It's no big deal."
気づいたら こんな感じで,"Before you know it, it's like this."
あっ じゃ お母さんのあとを継がれて？,So you're following in your mother's footsteps?
あと継ぐとか そんな大した話じゃなくて,It's not that big of a deal.
15年前くらいかな,It was about 15 years ago.
お母さんが お店やってるときに,When my mom was running the store.
お店 お休みにしてたの,I had to close the store.
当時は 今ほど うどんのお店も多くなくて,"Back then, there weren't as many udon stores as there are now."
手取り足取り教えてもらわなくても,You don't need someone to teach you everything.
追い込まれたら なんとかなるものね,"If you're backed into a corner, you can make it work."
ごめんなさい そろそろ ゆで上がるから,I'm sorry. I'm almost done boiling.
意外と そういうもんだよな,"Surprisingly, that's how it is."
はい　肉うどん お待たせしました,"Here you go, meat udon. Thanks for waiting."
これが そのうどん,This is the udon.
いかにも 味が 染み込んでそうな馬肉に,The horse meat seems to have soaked up all the flavor.
軽く ゆでたキャベツ,And lightly boiled cabbage.
基本的な吉田うどんの感じか,It's just basic Yoshida udon.
いただきます,Bon appétit.
シンプルに うまい,It's simply delicious!
つゆは醤油ベースかと思いきや ,I thought the soup was soy sauce based. 
だしの利いた味噌ベースなんだ,It's a miso-based dish with a hint of dashi.
肉の甘みと合うなぁ,It goes well with the sweetness of the meat.
うどん自体も柔らかいんだけど,"The udon itself is soft, but"
太い分 ちゃんと 奥のほうにコシもあって,"The udon itself is soft, but it's thick, so it has a firm texture in the back."
歯応えもいい,It's also very chewy.
すりだねだ,It's made of ground rice.
この味 ずっと守り続けてくださいね,Please keep this flavor alive.
いや　それはムリムリ そんなつもりも ないし,"No, that's impossible. I have no intention of doing that."
誰も継いじゃくれないでしょう,I don't think anyone will take over.
私の代で終わりじゃないの？,Isn't this going to end after my generation?
うどん屋さん 増えて お客さん 減ってるし,"There are more udon shops, but fewer customers."
フッ… 私だって いつまで続けられるか,I don't know how long I can keep going.
ずっと食べられるわけじゃ ないんだ,It's not like we'll be able to eat them forever.
女将さんが辞めてしまったら 絶えてしまう,"If the proprietress quits, we'll die out."
このまま絶やしてしまうのが惜しい,It would be a shame to let it die out.
それゆえに,That's why.
うまい,It's delicious.
ごちそうさまでした,Thank you for the food.
また 来ますね,I'll be back.
次 来るときは なくなってたりして,"The next time I come back, it might be gone."
そんなこと言わないでくださいよ,Please don't say that.
冗談よ　冗談,Just kidding. Just kidding.
それじゃ ありがとうございました,Thank you very much.
お気をつけて,Take care.
ごちそうさまでした,Thank you for the food.
 レシピもない　後継ぎもいない,"We have no recipe, and no one to take over."
もう二度と 食べられないかもしれない,We may never be able to eat it again.
絶滅してしまうかもしれない 絶品メシ,An exquisite meal that may become extinct.
自宅までのルートを検索いたします, We will find a route to your home.
今週も お疲れさまでした,Thank you again for your hard work this week.
君にはビジョンがないんだよ,You don't have a vision.
俺の人生って 何だろう？,I wonder what my life is.
車中泊 始めたころって ,When I first started sleeping in the car. 
ただ 車の中で寝るだけでも 楽しいからね,Just sleeping in the car is fun.
19のときから この店しか やってないから,This is the only place I've worked since I was 19.
ちょいと面白いだろ,It's kind of fun.
初めて知りました,I've never heard of this before.
自分で 好みの味にできてる,I can make it taste just the way I like it.
それに タレの皿もいらないから,"Besides, I don't need a plate of sauce."
確かに合理的,That's very reasonable.
お気遣い ありがとうございます,Thank you for your concern.
大満足に 決まってるじゃ,I'm sure you'll be very happy.
あん 残るといいけどね,I hope there's enough left.
宇都宮餃子会と共同開発した,Jointly developed with the Utsunomiya Gyoza Association
すっきりとした喉越し きめ細かい泡,It has a clean throat and fine foam.
テフロン加工されたフライパンを 熱します,Heat a nonstick frying pan.
小麦粉水を作ります,Make the flour water.
泡が 少なくなってきたら,When the bubbles start to diminish.
蓋を開けます,Open the lid.
ゴマ油を流す時は,When pouring the sesame oil
餃子に かからないように,Try not to get it on the dumplings.
この乾いたパチパチッという音が 鳴ったら,When you hear this dry crackling sound.
もう一度 蓋を開けてみましょう,Open the lid again.
お皿をかぶせて,Cover with a plate.
お姉ちゃん 最高,You're the best.
今日は、天ぷらの作り方をご紹介します,"Today, I will introduce how to make tempura."
とても簡単に作ることができます,You can make it very easy.
必要なのは小麦粉と卵,You need only flour and eggs.
ぜひお試しください,Please try.
では、始めましょう！,Let's get started!
天つゆを作って食べます,Make tempura soup and eat.
クッキーが欲しい,I want cookies.
お野菜食べたらクッキーたべよう,"If you eat vegetables, let's eat cookies Ok?"
ご飯食べたらクッキー食べよ,"If you eat rice, eat cookies."
さつまいもをスライスして水に浸します,Slice the sweet potatoes and soak them in water.
ほら、入れると白くなった,"You see, it turned white when I put it in."
水につけとくね,Soak it in water.
そしてお茄子,and eggplant.
おてて、使っていいよ,Use your hands.
次に大根おろしをつくります,Next we use Daikon radish.
なんていうの？,What do you say?
おきになさらず,Don't mind me.
びっくりしました,I was so surprised.
これはエビですか？,Is this a shrimp? 
できる？じゃ、全体お口に手を入れないよ,Are you sure? Don't put your hands in your mouth.
約束できる？「はい」,"Can you promise? ""Yes"" Then"
じゃ、やってもらおう,Then let's do it.
こうやってか？,Are you doing this?
これ、むいていって？,Can you peel this off for me?
ぬがしてあげて？,Can you take it off?
すごいね、なんでもやらしてみるもんやね,It's amazing. You can try anything.
集中しております,I'm focused.
パンツは脱がさないでね,Don't take off your pants
いい感じ,Good feeling 
ちょっと待って みてて,Wait a minute. Watch this.
このように切ります,Cut it like this.
これが元の尻尾です,This is the original tail.
貝殻の水が原因で油が飛び散る,Oil splatters due to the water in the shell
ああ、アスパラガスを忘れてた！,"Oh, I forgot about asparagus!"
アスパラガスをいれようか？,Shall we add asparagus?
とても日本的な香りがします,It has a very Japanese flavor.
何をしているの？,What are you doing?
カットした野菜の水を拭きます,Wipe the water from the cut vegetables.
野菜とエビの準備ができました！,The vegetables and shrimp are ready!
サクサク揚げていこうと思います,I'm going to fried it crispy
なに今日？どうしちゃったの？,What happened today
テンプラのバッターを作ってください,Make a tempura batter
「テンツユ」はテンプラを浸すスープです,Tentsuyu is a soup that soaks tempura.
もちろん、おだしやみりんも使えます,"Of course, you can also use odashi and mirin."
だし粉小さじ半分,A half of tea spoon of dashi powder.
火にかけておきます,Place on the fire.
揚げ油を準備します,Prepare the oil.
うん、帰ってくるよ,"Yeah, I'll be back."
先に食べちゃおう！,Let's eat first!
手を合わせてご一緒に！ いただきます！,"Put your hands together, please! Itadakimasu!"
お手てで食べてもいい,You can eat with your hands.
おつゆに、ちょんちょんして,Dip it into the dipping sauce.
まちがいないやつ、おいしい！,"You're right, it's delicious!"
大根とかがあれば、天つゆの中に入れて,"If you have daikon radish, add in the soup."
誰みたい？,Who are you like?
エビもぷりぷりやし！,Shrimp is also plump!
なんでも合うよね,It goes with everything.
天ぷらが余ったら、明日は,If I have leftover tempura.
天つゆと卵でとじて、天丼にしたりします,I sometimes make a tendon with tempura soup and eggs.
おそば、食べたくなるなぁ,I want to eat soba.
お風呂、はいっておいで！,Come take a bath!
今度ドラマ 評判いいみたいじゃない,I hear the drama is getting good reviews
そんなんじゃないわよ,It's not like that.
マスター白菜漬け 大盛りね,"A big bowl of pickled Chinese cabbage, Master."
うまみや甘みが凝縮されます,The cabbage will taste sweeter as they dry out.
一層うまくなります,It becomes even better!
ちょっとしきり直して,Let's start over.
子供が乗るやつですか？,Is that the one the kids ride?
建物写ってましたね,You got a picture of the building.
泣かないように気をつけて,Try not to cry.
感極まってもすぐ泣いちゃいますし,"Even when I'm overwhelmed with emotion, I cry easily."
作ってみました！,I made it!
私のハリネズミも可愛かったでしょ！,Wasn't my hedgehog cute too!
しょうがない…出していいですよ,I don't have a choice... you can let me out.
みんなもめっちゃ笑ってくれてる！,You guys are laughing so hard!
写真撮ってみましたよ,I took some pictures.
今日姉の日というのを初めて知ったので,I've never heard of today being my sister's day before.
今日から優しく唇全体につけたいと思います,I'm going to start applying it gently all over my lips today.
右上なんですけどここらへんです,"It's in the upper right corner, but it's around here."
さらっと報告していきたいと思います,I'd like to make a quick report.
すすらないようにっていうより,Rather than trying not to soak it.
ほんと日用品を買いに出たんですよ,I really just went out to buy some supplies.
袋のあいたさつまいもパンが,The sweet potato bread with the bag open.
最終回くらい重かったごめんなさい,I'm sorry it was as heavy as the last episode.
無事に過ごしましょう、いい天気ですね,Let's stay safe. It's a beautiful day.
雪道のベストな歩き方,The Best Way to Walk on Snowy Roads
自分の足のサイズくらいだから,It's about the size of my feet.
足を上げて こう、全体で,"Feet up, like this, all the way."
足先見てこんな感じですか ねほとんど,It's almost like looking at your toes.
いつもこんくらいスタスタ歩いてますからね,I'm always walking this fast.
女子会ということで,It's a girls' night out.
女の子が喜びそうな この鶏もも,The girls will love these chicken thighs.
筋を切り 開いていきます,I'm going to cut through the muscle.
焼く前にこういうフォークを 用意します,We'll need a fork like this before we cook it.
刺していきます,We're going to pierce it.
火通りが よくなります,It's a good way to cook it.
ここら辺の周りが,Around here.
両面が 香ばしく焼けたら,When both sides are nicely browned.
ねぎと しょうがを 加えます,Add green onions and ginger.
まさかの梅干し！,Umeboshi!
なんと 梅干しをフライパンへ,Put the pickled plums in the pan.
そして コンソメスープを加えます,Then add the consommé soup.
ヒタヒタになるぐらいまで 入れましょう,Add the consommé broth until it's thick.
更に 酒 しょうゆを入れ,Then add the sake and soy sauce.
味を調えたら そこへ落としぶた,Season to taste.
落としぶたはアルミホイルで 簡単に作れます,The lid can be easily made with aluminum foil.
これで 15分から20分 煮詰めましょう,Let's boil it down for 15 to 20 minutes.
見てください,Look at this.
柔らかくなってきました そしたら,It's getting soft.
鶏もも肉が 柔らかくなったら,When the chicken thighs are tender.
この梅干し これを崩して,"When the chicken is tender, break up the pickled plums."
これでね タレが できちゃうんです,You can make a sauce with this.
こんなのも用意します,I'll also prepare these.
プチトマト あと きゅうりね,Cherry tomatoes and cucumbers.
きゅうりは 乱切りにします,Cut the cucumbers into chunks.
そして 鶏もも肉を食べやすい大きさに カット,Cut the chicken thighs into bite-sized pieces.
こう ランダムに,Randomly.
刺していきましょう,Let's stick them in.
さあ 見てください,Look at this.
最後に 梅肉ソースを添えれば出来上がり！,Garnish with plum sauce and you're all set!
さあ 今日は これで決まり！,That's it for today!
冷やしやきとり風です！,Chilled yakitori style!
 焼かずに煮ることで," By boiling it, not baking it."
しっとり 柔らかく仕上げた,It's moist and tender.
やきとり風の 冷製おつまみ,It's a yakitori-style cold snack.
この梅肉のタレがいいですね,I like the plum sauce.
これ 会話も 弾むんじゃないですか？,"This is a great conversation starter, isn't it?"
是非 作ってみてください,Please try making it.
そして 誘ってください,And please invite me.
めぐやんさんからです,This is from Meguyan.
ありがとうございます,Thank you very much.
そしたら 七夕にピッタリな,I'd like to make some gorgeous somen for Tanabata.
 華やかな そうめんを 作りたいと思います, I'd like to make some gorgeous somen noodles.
早速 作っていきましょう,Let's get to work.
 鍋に 水 しょうゆ," In a pot, add water, soy sauce."
みりん かつお節を加え ひと煮立ちさせます,Add mirin and bonito flakes and bring to a boil.
しょうゆ１ みりん１ かつお節１ですね,"1 soy sauce, 1 mirin, 1 bonito flakes."
覚えといてください,Keep that in mind.
ボウルに さらしをひいてつゆをこしたら,Strain the broth into a bowl.
ラップをし 冷ましておきましょう,Wrap the bowl and let it cool.
そして 溶き卵に塩を加え,Add salt to the beaten egg.
薄焼き卵を作ります,Make a thin egg.
それを３枚重ねて 短冊切りに,Cut it into strips in three layers.
オクラは塩もみしたら サッと茹で,Boil okra with salt.
小口切りにしていきます,Cut it into small pieces.
にんじんは 型を使って 星形に くりぬきます,Use a mold to cut out a star shape for the carrot.
鍋の中に 入れていきましょう,Put them in the pot.
少し茹でます,Boil a little.
さあ そしたら エビ,"And now, the shrimp."
エビは 竹串で背わたを取り,Remove the back of the shrimp with a bamboo skewer.
鍋でサッと茹でたら,Boil it briefly in a pot.
このお腹(なか)の部分に,Make a little cut on the belly.
ちょっと こう 切り込みを入れます,I make a little incision in the belly.
こうすることで美しく 仕上がるのだとか,This is how you make it beautiful.
そうめん 糸を用意して 結んじゃいます,Somen: Prepare a thread and tie it.
これをですね 茹でましょう,Let's boil it.
今日 なんで 結んだかというと,Why did I tie it today?
バラつかせたく なかったからです,Because I didn't want them to fall apart.
束の状態で 飾りつけたいので,I want to decorate it in a bunch.
そして いよいよ盛りつけ,And now for the serving.
刻んだ ねぎ オクラ 卵 みょうが,"Chopped green onion, okra, egg, myoga."
そして 反対側には,And on the other side.
にんじん エビ 氷を盛りつけます,"And on the other side, carrots, shrimp, and ice."
今日は これで決まり！,That's it for today!
七夕そうめんの 完成です！,Tanabata Somen is complete!
ご覧ください,Please take a look.
まるで 絵画のように 美しい七夕そうめん,"It's like a painting, the beautiful Tanabata Soumen."
もこみち君 出来栄えは いかが？,"How's it coming along, Mokomichi?"
どっから 食べたらいいのか 分かりません,I don't know where to start eating it.
でも こういう盛りつけだったら ,I don't know where to start. 
子供から大人まで楽しめますよね,I'm sure everyone from children to adults will enjoy it.
めぐやんさんも 是非 試してみてください,"Meguyan, please give it a try."
今日は じゃ 冷やごはんが 大変身する,Today... let's try an idea that will transform cold rice.
アイデア料理で いきましょうか！,Let's start with an idea to transform cold rice!
今日はフライパン,"Today, we'll use a frying pan."
ここに ごま油,"Here, sesame oil."
今日は こんな おいしそうな 豚バラを使います,"Today, we'll use this delicious-looking pork belly."
これをね 焼きますよ,Let's cook it.
豚バラ肉は片面に 焼き色がついたら,Brown the pork belly on one side.
こしょう にんにくの スライスを加え,Add pepper and a slice of garlic.
こんがり焼いていきます,Let's brown it.
これを焼いてる間に長ねぎですね,"While this is cooking, we'll add green onions."
この…　中にある この芯を 取り除きます,Remove this core from the inside.
長ねぎは 芯を取ったら 重ねて千切りに,"Once the core is removed, layer the leeks and cut into strips."
まあ サラダなんだけど スイーツっていうか,"It's a salad, but it's more like a sweet."
代わりにブルーベリでも いいですし ,You could use blueberries instead. 
よし！ 泣くな もう,All right!　No more tears.
またな,See you later.
行くか,Let's go.
頑張って！,Come on!
ヤベえから,"Oh, man."
怖い,I'm scared.
疲れた,I'm tired.
あと １キロくらいじゃねえ？,"We've got about a mile to go, right?"
いや まだだと思う ,"No, I don't think so. "
もう真愛スペシャルで,I'm going to do the Ma'ai Special.
これ 使って,Use this.
まさか これで,No way.
もう二度と 会えなくなるって,I never thought I'd see you again.
全く予想も してなかったから,I had no idea what to expect.
もうちょい急ぎます,I'll hurry a little more.
どういうこと？ ダルい！ウザい ほんとに,What do you mean? You're so lame!　It's annoying. It really is.
早く食べれ,Hurry up and eat.
え？　あっ 動画？,What?　A video?
こんにちは,Hello.
未来日記をお持ちしました,"I brought you a copy of ""Mirai Nikki""."
ありがとうございます,Thank you very much.
沖縄県の那覇市出身,"I'm from Naha City, Okinawa Prefecture."
大学生で アパレルの バイトをしています,"I'm a college student, and I work part-time in the apparel industry."
職業が料理人で ４年目です,I've been a cook for four years.
未来日記です,This is my future diary.
この未来日記には,In this future diary.
明日の 一番 最初の日記と,This future diary contains the first diary of tomorrow.
一番 最後の日記が 書かれてます,And the last one.
読んじゃって いいですか？,Can I read them?
横浜を訪ねた,You visit Yokohama.
 あなたは 運命の相手と 突然出逢う, You will suddenly meet your destiny.
運命の相手,The one you're meant to be with.
運命の相手と突然,"Suddenly, you meet your destiny."
もう いきなりですよね,"It's a bit sudden, isn't it?"
じゃあ 次 めくっていただいて,Please turn to the next page.
初めての 共同作業を終えた,I've seen what looks like snow that a machine put out.
 ２人の前には １輪のひまわり, A single sunflower in front of them.
ひまわりの 花言葉は“一目惚(ぼ)れ”,"The language of sunflowers is ""love at first sight."""
一目惚れ”とか したことないです,"I've never had ""love at first sight."
一目惚れ”するんですね,"Love at first sight, huh?"
男の人のひげって,A man's beard...
そっちゃおうかな,I think I'll shave it off.
ここに １冊の特別な日記があります,I have a very special diary here.
世界で たった一つ,The only one in the world.
過去ではなく 未来の出来事が記された日記,"A diary of future events, not the past."
それこそが 未来日記なのです,That is the diary of the future.
それでは 皆さん,Ladies and gentlemen.
ステージ中央のモニターに ご注目ください,Please pay attention to the monitor in the center of the stage.
全く知らない男女へ届けられる ,Delivered to a completely unknown man and woman 
未来日記には,In Future Diary
２人の未来が書かれています,Their future is written in it.
信じられない出逢い,An unbelievable encounter.
２人を襲う 非日常的な試練の数々,The extraordinary ordeal that awaits them.
どんな内容であっても,No matter what it says.
日記に書かれた指示には従わなくてはいけない,You must follow the instructions in the diary.
また お互いに 連絡先を交換したり,"Also, you can't exchange contact information with each other."
撮影以外で逢うことは できません,You will not be allowed to see each other outside of the shoot.
そして 最後に渡される日記には,And in the diary that was given to me at the end.
永遠の別れが書いてあります,It says goodbye forever.
出逢い恋に落ち別れる運命が決まっている男女,"A man and woman who meet, fall in love, and are destined to separate."
 本当に 恋に落ちていくのでしょうか？, Are we really going to fall in love?
さあ 運命の２人の物語は,The story of two people who are destined to be together
ここから始まるのです,This is where it all begins.
気付きました？ 全然,Did you notice that? Not at all.
全く気付かなかった,I didn't notice at all.
マジで びっくりしたわ,"Seriously, you scared me."
えっ みんな いなくなっ…,What? They're all gone...
２人だけってことですよね ,"It's just the two of us, right? "
あっ はじめまして,Nice to meet you.
あっ あっちですか,"Oh, that way?"
こういう感じか,Like this?
全然 気付かなかった,I didn't notice at all.
えっ おいくつですか？,How old are you?
どうやって出会うのかなって考えたんですけど,I was wondering how we'd meet.
まあ やっぱ 全然 予想はつかなくて,I couldn't predict it at all.
こんな形で会うとは 思わなかったっすね,I never thought we'd meet like this.
振り返った瞬間に 誰もいなくて ,"The moment I turned around, there was no one there. "
１人だったじゃないですか,I was alone.
２人しかいない状況で,There were only two of us.
その瞬間 もう バクバクですよね ドキドキして,"At that moment, my heart was racing. I was so nervous."
ちょっと話したんですけど 何も覚えてないです,"We talked a little, but I don't remember anything."
これ 真愛さんに新たな日記です,"This is a new diary for you, Maa."
この日記は 真愛さんだけの 日記なので,This diary is only for you.
彼は この日記の 存在を知りません,He doesn't know this diary exists.
どんなに 気持ちが動いても,No matter how I feel.
分かりました,I understand.
隠すってことですよね？,"You mean hide it, right?"
えっ 顔に出ちゃったら,What? If it shows on my face.
ダメですよね？,"That's not good, is it?"
分かりました,I understand.
小樽 その地元に めっちゃ似てんだよ,It's very similar to my hometown.
こんな感じなの？,It's like this?
いや なんか こんなデカい建物が,"No, there's this huge building."
めっちゃ バーンって あるわけじゃないけど,It's not like there's a whole bunch of buildings.
こういう川みたいな デッカい川があって,But there's a big river like this one.
でも そこの周りに めっちゃ海鮮とかあって,But there's a lot of seafood around there.
ハートロック 古宇利島の,Heart Rock on Kouri Island.
少なくとも ほんの２時間前までは,At least until a couple of hours ago.
３週間ぶりの帰宅だった,I hadn't been home in three weeks.
早く帰れたほうだ,I was able to go home early.
仕事一筋の毎日だった,"Every day, all I did was work."
脇目も振らずに働いたせいで,Since I put all my heart and soul into my work.
ガリ勉みたいなヤツ,He's like a hard worker.
やめろよって お前,Keep it down.
ばったり出くわして,We bumped into each other.
すいません ちょっといいですか？,"Excuse me, can I have a word?"
 担架入ります, A stretcher is coming in.
頭に弾丸を撃ち込まれた,He put a bullet in my head.
ただ その弾丸を取り除く手術は困難で,But surgery to remove the bullet was difficult.
この弾を取り出すためには,To take out this bullet
覚悟しとけ,Be prepared.
靴跡は２つあります,There are two shoeprints.
帰る前に現場を回っておこうと思って,So I thought I'd check out the scene before I leave.
私も一緒に見ていい？,"Can I watch, too?"
 餃子の焼き方 教えてくんない？,Can you teach me how to make gyoza?
うまい酒とおいしい料理,"Good sake, good food."
あっ じゃあ カウンターどうぞ,Come to the counter.
はい コート お預かりしますね,"Okay, I'll take your coat."
餃子の焼き方？,How to cook dumplings?
あんまり無理しないでね,Don't push yourself too hard.
ああ いってきます,I'm off.
いってらっしゃい,Have a good day.
大好きな餃子で 元気になってほしくて,I wanted to cheer you up with my favorite dumplings.
そういえば ゆうべ…,"By the way, last night..."
うちの嫁が―,My wife...
悲しそうに帰ってったよ,She left sadly.
ホント めんどくさい息子だよ,He's such a pain in the ass.
お願い コツ 教えて,"Please, teach me how."
コツですか,Tips?
あっ 落ち着いてください,Please calm down.
ちゃんと このとおりに,I want you to do this.
フライパンを熱して 油を引き―,"Heat a frying pan, add oil..."
本製品を並べ 中火で焼く,Put the product on the pan and cook over medium heat.
ちゃんと説明どおりに 忠実にやってるのに,I'm following the directions exactly.
あれ？　何か うちのやり方と違うかも,What?　Maybe it's not the way we do it.
えっ？　やっぱり！,What?　I knew it!
きっと何か秘けつがあるのよ,There must be some secret to it.
お願い 私を助けると思って教えて,"Please, think of it as helping me and tell me."
結婚して もう10年 過ぎたんですよね？,"You've been married for 10 years, right?"
せっかくだから 本体から作りましょう,"Since we're here, let's start with the body."
あっ 大丈夫よ 焼き方だけ教われれば,Don't worry. You can just teach me how to bake.
でも そんな時間 取らせられないわ,But I can't afford that kind of time.
まずは野菜ね,Let's start with the vegetables.
私は白菜のほうが扱いやすくて ,I find bok choy easier to handle. 
季節柄 キャベツにしましょうね,"But since it's the season, let's go with cabbage."
もしかして 皮も手作り？,Do you make the skin by hand?
ああ… 時間もないですし そこまでは,We don't have time to go that far.
ああ よかった 皮も手作りかと,"Oh, good. I thought the skin was homemade."
はい あっ 菜切りで,"Yes. Oh, just chop it."
調味料は先に入れるのね？,"You put the seasoning in first, right?"
うまみとコクを引き出す効果が 高いんです,It's rich in amino acids and brings out the full flavor.
入れてみたいけど 常備するのは ちょっと…,"I'd like to try it, but I don't have it on hand."
是非 試してみてください,Please give it a try.
本格的な味になりますよ,It will give you an authentic taste.
キャベツは刻み終わったら―,When you finish chopping the cabbage...
ひき肉と混ぜる前に 塩で軽くもみます,Toss it with salt before mixing it with the minced meat.
そうしたほうが 適度に水分が抜けて―,"That way, the water will drain out properly."
その間 ゆっくりお茶でも飲みましょう,"In the meantime, let's have a nice cup of tea."
じゃあ 包んで焼いてみましょう,Let's wrap it up and bake it.
え… これ 全部包むの？,You're going to wrap all of these?
今から焼く分だけです,Just the ones we're going to bake.
焼く練習の分だけ 包みましょう,We'll wrap up enough for the baking exercise.
私 実は餃子って作ったことないの,I've never made gyoza before.
私 料理 下手で―,I'm a terrible cook.
正直に言ってから教わるべきよね,You should have told me first.
じゃあ イチから教えますね ,Then I'll teach you from scratch. 
あっ 油は あとからでも 大丈夫なんです,You can add the oil later.
はい 少なくとも うちでは そうしてました,"Yes, at least that's how we do it in our house."
ここから ゴマ油を入れます,"From here, add sesame oil."
お皿をかぶせます,I'll cover it with a plate.
失敗ゼロなんです,I have zero failures.
食べてみてもいい？,Can I try some?
お熱いうちに どうぞ,While it's hot.
皮 パリパリ,The skin is crispy.
でも かみしめると ,But when you bite down. 
じゅうっと肉汁もあふれて,The meat was juicy and tender.
 絶対 満足してくれるわ, I'm sure he'll be satisfied.
そうよね 自分で できなきゃね,That's right. You have to be able to do it yourself.
うん この音になったら もう大丈夫,"When you hear that sound, you're good to go."
焼き色を確認してみて,Let's check the color.
わあ いい色 ああ きれいに羽根もできてる,It's a nice color. The feathers are nicely done.
じゃあ このお皿をかぶせて,Put this plate on top.
ほら 思いきって ひっくり返してみて,Take a chance and turn it over.
私にもできたわよ 美音ちゃん,"I did it, too, Mine."
完璧です 免許皆伝ですよ,Perfect. You're all licensed.
ありがとう 美音ちゃん ありがとう,"Thank you, Mine. Thank you."
大げさですよ,You're exaggerating.
あっ 餃子だ！,Dumplings!
お姉ちゃん みそダレ作って,"Sis, make the miso sauce."
しょうがないわね,I can't help it.
せめてネギぐらい 自分で刻みなさい,At least chop the green onion yourself.
がってん承知之助 フフッ,I'll do it myself.
もう たまんない,I can't get enough.
みそダレ？　初めて見た,Miso sauce?　I've never seen it before
意外な味わいね,It has an unexpected taste
うん これはこれでおいしい,It's delicious in its own way.
ついでに 塩こしょうも試してみて,"Try the salt and pepper, too."
これはこれでおいしい,"It's delicious, too."
餃子のカリカリが全然消えない,The crunchiness of the gyoza won't disappear at all.
うん そりゃそうよ 液体ゼロだも,"That's right, there's no liquid"
うちでは いつも ラー油入り酢じょうゆ,"In our house, we always use vinegar sauce with chili oil."
みそダレ 塩こしょうは 欠かせなくて,"Miso sauce, salt and pepper are a must."
あん 持ってかなくていいの？,Don't you have to bring the pastries?
あっ また 今夜もお二人で？,Will it be the two of you again tonight?
いやあ 駅で 偶然 出会っちゃって,"No, we just ran into each other at the station."
そんなこと言って どうぞ お好きな席,"Don't say that. Please, take your seat."
今日のおすすめは餃子か 珍しいね,Today's recommendation is dumplings. That's unusual.
私も またあとで食べたい,I want to try them again later.
また そんなこと言って,You keep saying that.
まずは ビールを頂こうかな,I think I'll have a beer first.
フッ いつものビールもいいですが,"The usual beer is fine, but..."
はい こんなのは いかがですか？,How about something like this?
おお？　見たことないビールだな,Oh?　I've never seen this beer before.
まさに麦って感じで 香りも強いです,"It has a strong aroma, just like barley."
どちらも今日の餃子に とっても合いますよ,Both go well with today's gyoza.
んー 困ったな どちらも捨てがたい,I'm at a loss. I can't decide between them.
