Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
移,I,utsu,"shift, move",移民,いみん,"immigration, emigration",移る,うつる,"to move, transfer",移動,いどう,"movement, transfer"
域,IKI,.,"area, range, region, limits",地域,ちいき,"area, region",領域,りょういき,"area, domain, territory, field",域外,いきがい,outside the area
周,SHUU,mawa,"circumference, circuit",周り,まわり,"circumference, surroundings",周囲,しゅうい,"surroundings, environs",周辺,しゅうへん,"circumference, outskirts"
接,SETSU,tsu,"touch, contact,",接ぐ,つぐ,"to join, piece together, set bones",面接,めんせつ,interview,接続,せつぞく,"connection, attachment"
鉄,TETSU,.,iron,地下鉄,ちかてつ,"underground train, subway​",鉄道,てつどう,"railroad, railway",鉄棒,てつぼう,iron rod
頃,.,koro,"time, about",頃,ころ,"approximate time, around, about",近頃,ちかごろ,"lately, recently, nowadays",今頃,いまごろ,about this time
材,ZAI,.,"lumber, materials",木材,もくざい,"lumber, timber, wood",材料,ざいりょう,"materials, ingredients",素材,そざい,"ingredient, raw material, resource"
個,KO,.,individual,こじん,こじん,"individual, personal, private",個性,こせい,"individuality, personality",個室,こしつ,single room
協,KYOU,.,cooperation,妥協,だきょう,"compromise, giving in",協力,きょうりょく,cooperation,協定,きょうてい,"arrangement, pact, agreement"
各,KAKU,onoono,"each, every",各自,かくじ,each person,格別,かくべつ,"particular, special, exceptional",各種,かくしゅ,"every kind, all sorts"
帯,TAI,"obi, o","sash, belt, obi, zone, region",帯,おび,"obi, kimono sash",包帯,ほうたい,"bandage, dressing",熱帯,ねったい,tropics
歴,REKI,.,"curriculum, continuation",歴史,れきし,history,経歴,けいれき,"personal history, career",職歴,しょくれき,work experience
編,HEN,a,"compilation, knit",編む,あむ,"to knit, braid, compile, edit",編集,へんしゅう,"editing, compilation",再編,さいへん,"reorganization, reshuffle"
裏,RI,ura,"back, rear, reverse",裏,うら,"opposite side, rear, back, behind",裏返す,うらがえす,to turn inside out,表裏,ひょうり,"front and back, inside and outside"
比,HI,kura,compare,比べる,くらべる,to compare,比例,ひれい,proportion,比較,ひかく,comparison
坂,HAN,saka,"slope, incline, hill",坂,さか,"slope, incline, hill",坂道,さかみち,hill road,下り坂,くだりざか,"downhill, downward slope"
装,"SOU, SHOU",yosou,"attire, dress, pretend",服装,ふくそう,garments; attire,包装,ほうそう,"packing, wrapping",衣装,いしょう,"clothing, costume, outfit"
省,"SEI, SHOU","kaeri, habu","focus, government",反省,はんせい,"reflection, reconsideration",省く,はぶく,"to omit, leave out, exclude, curtail",省略,しょうりゃく,"omission, abbreviation"
税,ZEI,.,"tax, duty",税関,ぜいかん,customs,関税,かんぜい,"tariff, import tax, duty, customs",税金,ぜいきん,"tax, duty"
競,"KYOU, KEI",se,"emulate, compete with",競技,きょうぎ,"game, match, contest",競う,きそう,"to compete, contend, vie",競馬場,けいばじょう,"racecourse, race track"
囲,I,kako,"surround, besiege, store",囲む,かこむ,"to surround, encircle, enclose",周囲,しゅうい,"surroundings, environs",範囲,はんい,"extent, scope, sphere, range, span"
辺,HEN,"ata, be","vicinity, environs",辺り,あたり,neighbourhood,周辺,しゅうへん,"circumference; outskirts, around",浜辺,はまべ,"beach, foreshore"
河,KA,kawa,river,運河,うんが,"canal, waterway",河川,かせん,rivers,氷河,ひょうが,glacier
極,"KYOKU, GOKU",kiwa,"poles, extreme",極端,きょくたん,"extreme, extremity",極める,きわめる,to carry to extremes,積極的,せっきょくてき,"positive, assertive, active"
防,BOU,fuse,"ward off, defend, protect",消防署,しょうぼうしょ,fire station,防ぐ,ふせぐ,"to defend against, to protect against",予防,よぼう,"prevention, protection"
低,TEI,hike,"lower, short, humble",低い,ひくい,low,最低,さいてい,"least, lowest, minimum",低下,ていか,"fall, decline, lowering"
林,RIN,hayashi,"grove, forest",林,はやし,"woods, groove, forest",密林,みつりん,"close thicket, dense forest, jungle",林立,りんりつ,"standing close together, bristling (with)"
導,DOU,michibi,"guide, lead",指導,しどう,"guidance, leadership, instruction",導く,みちびく,"to guide, lead, show the way",導入,どうにゅう,"introduction, leading in, installation"
森,SHIN,mori,"forest, woods",森,もり,forest,森林,しんりん,"forest, woods",青森県,あおもりけん,aomori prefecture
丸,GAN,maru,"round, roll up, curl",丸い,まるい,"round, circular, spherical​",丸める,まるめる,"to make round, roll up, curl up",丸薬,がんやく,pill
胸,KYOU,mune,"bosom, breast, chest",胸,むね,"chest, breast​",度胸,どきょう,"courage, bravery, grit",胸部,きょうぶ,"chest, breast"
陸,RIKU,.,land,大陸,たいりく,continent,着陸,ちゃくりく,"landing, alighting, touch down",上陸,じょうりく,"landing, going ashore, disembarkation"
療,RYOU,.,"heal, cure",医療,いりょう,"medical care, medical treatment",治療,ちりょう,"treatment, care, therapy, cure",診療,しんりょう,"diagnosis and treatment, medical care"
諸,SHO,.,"various, many, several",諸国,しょこく,various countries,諸島,しょとう,"archipelago, group of islands",諸君,しょくん,"you, ladies and gentlemen"
管,KAN,kuda,"pipe, tube, control",血管,けっかん,"blood vessel, vein",管理,かんり,"control, management",保管,ほかん,"charge, custody, safekeeping"
仲,CHUU,naka,"go-between, relationship",仲間,なかま,"companion, fellow, friend",仲良し,なかよし,"intimate friend, close friend",仲裁,ちゅうさい,"arbitration, intercession, mediation"
革,KAKU,kawa,"leather, skin, reform",改革,かいかく,"reform, reformation, reorganization",革,かわ,leather,変革,へんかく,"change, transformation, reform"
担,TAN,"katsu, nina","shouldering, carry, raise, bear",担ぐ,かつぐ,"to shoulder, carry on one's shoulder",担当,たんとう,being in charge,担う,になう,"to carry on one's shoulder, shoulder, bear"
効,KOU,ki,"merit, efficacy, efficiency, benefit",有効,ゆうこう,"valid, effective​",効く,きく,"to be effective, take effect",効力,こうりょく,"effect, efficacy, validity, potency​"
賞,SHOU,.,"prize, reward, praise",賞金,しょうきん,"prize money, monetary award",鑑賞,かんしょう,"appreciation (of art, music, poetry, etc.)​",賞品,しょうひん,"prize, trophy"
星,SEI,hoshi,"star, spot, dot, mark",衛星,えいせい,"satellite, moon",星,ほし,star,惑星,わくせい,planet
復,FUKU,.,"restore, return to, revert",往復,おうふく,"making a round trip, going and returning",回復,かいふく,"restoration, rehabilitation, recovery",復旧,ふっきゅう,"restoration, restitution, rehabilitation"
片,HEN,kata,"one-sided, leaf, sheet",破片,はへん,"fragment, broken piece",片付ける,かたづける,"to tidy up, put in order",片道,かたみち,one-way (trip)
並,HEI,"nara, nami","row, line up",並ぶ,ならぶ,"to line up, stand in a line",並べる,ならべる,"to line up, set up, arrange in a line",並行,へいこう,"going side-by-side, going abreast"
底,TEI,soko,"bottom, sole, depth",底,そこ,"bottom, sole",徹底,てってい,"thoroughness, completeness, consistency",根底,こんてい,"root, basis, foundation"
温,ON,atata,warm,体温,たいおん,body temperature,温泉,おんせん,hot spring,温まる,あたたまる,"to warm oneself, sun oneself, warm up"
軽,KEI,"karu, karo",light,軽い,かるい,light,軽率,けいそつ,"rash, thoughtless, careless, hasty",手軽,てがる,"easy, simple, informal, offhand"
録,ROKU,.,record,記録,きろく,"record, minutes, document",録音,ろくおん,audio recording​,登録,とうろく,"registration, accession, register"
腰,YOU,koshi,"hips, waist",腰,こし,"lower back, waist, hips",腰掛ける,こしかける,to sit down,腰痛,ようつう,lower back or hip pain
著,CHO,"arawa, ichijiru","renowned, publish, write",著者,ちょしゃ,"author, writer",著す,あらわす,"to write, publish",著名,ちょめい,"well-known, noted, celebrated"
乱,RAN,mida,"riot, war, disorder",反乱,はんらん,"insurrection, mutiny, rebellion",乱用,らんよう,"abuse, misuse",乱れる,みだれる,"to be disordered, be disarranged"
章,SHOU,.,"badge, chapter, composition",文章,ぶんしょう,"writing, composition, essay",勲章,くんしょう,"decoration, order, medal",章,しょう,"chapter, section"
殿,"DEN, TEN",tono,"hall, mansion, palace, temple",宮殿,きゅうでん,palace,神殿,しんでん,"temple, sacred place, shrine",殿様,とのさま,"nobleman, dignitary, lord​"
布,FU,nuno,"linen, cloth, spread, distribute",財布,さいふ,"purse, handbag",毛布,もうふ,blanket,分布,ぶんぷ,"distribution, allocation"
角,KAKU,"kado, tsuno","angle, corner, square, horn",角度,かくど,angle,街角,まちかど,street corner,折角,せっかく,"with trouble, at great pains​, long awaited"
仏,BUTSU,hotoke,buddha,仏像,ぶつぞう,statue of buddha,仏,ほとけ,buddha,仏語,ふつご,french language
永,EI,naga,"eternity, long, lengthy",永遠,えいえん,"eternity, perpetuity",永久,えいきゅう,"eternity, permanence, perpetuity​",永住,えいじゅう,permanent residence
誌,SHI,.,"document, records",雑誌,ざっし,"journal, magazine",日誌,にっし,"journal, log",週刊誌,しゅうかんし,weekly publication
減,GEN,he,"dwindle, decrease, reduce",減る,へる,"to decrease, diminish",減らす,へらす,"to abate, decrease, diminish",減少,げんしょう,"decrease, reduction, decline"
略,RYAKU,.,"abbreviation, omission, shorten",省略,しょうりゃく,"omission, abbreviation, ellipsis",略語,りゃくご,"abbreviation, acronym",略す,りゃくす,"to abbreviate, omit​"
