Content,Description
3 彼の話によると、その会社はすぐに新製品を発表するらしい。,"3 According to him, the company will soon launch a new product."
4 目撃者によると、犯人は青いジャケットを着ていた。,"4 According to witnesses, the perpetrator was wearing a blue jacket."
5 教授によると、試験は難しくないそうです。,"5 According to the professor, the test is not difficult."
<b>~によれば (~ni yoreba) - according to</b>,<b>source of information</b>
1 彼によれば、そのレストランはとても良いらしい。,"1 According to him, the restaurant is very good."
2 専門家によれば、市場はまもなく回復するだろう。,"2 According to experts, the market will recover soon."
3 伝説によれば、この湖には古代の宝が沈んでいる。,"3 According to legend, there is an ancient treasure sunk in this lake."
4 最新の報告によれば、経済成長が続いている。,"4 According to the latest reports, the economy continues to grow."
5 彼女によれば、その映画は見る価値があるとのことです。,"5 According to her, the film is worth seeing."
"<b>~にとって (~ni totte) - for, to, from the standpoint of</b>",<b>view point・standpoint・perspective</b>
1 彼にとって、そのニュースは驚きだった。,"1 For him, that news was surprising."
子供にとって、親は最も大切な存在です。,"2 To a child, parents are the most important beings."
この仕事は私にとって、大きな挑戦です。,3 This job is a big challenge for me.
彼女にとって、健康が一番の財産だ。,"4 To her, health is the greatest asset."
学生にとって、試験の日は重要な日だ。,"5 For students, the day of the exam is an important day."
"<b>~として (~toshite) - as, in the capacity of, in the role of</b>",<b>qualification・role・capacity・position・function・profession</b>
1 彼は医者として尊敬されている。,1 He is respected as a doctor.
2 私は彼を友人として信頼している。,2 I trust him as a friend.
3 彼女は歌手としてデビューした。,3 She debuted as a singer.
4 この部屋は会議室として使われています。,4 This room is used as a meeting room.
5 彼はリーダーとしてチームを引っ張っている。,5 He is leading the team as a leader.
"<b>~に応じて (~ni oujite) - depending on, according to</b>",<b>changes in response to different conditions・adjustment based on a certain criteria</b>
1 状況に応じて計画を変更する必要がある。,1 It is necessary to change the plan depending on the situation.
2 予算に応じて旅行のプランを立てる。,2 Make travel plans according to the budget.
3 需要に応じて生産量を増やす。,3 Increase production as demand requires.
4 学生のレベルに応じて授業を進める。,4 Proceed with the lessons according to the students’ levels.
5 天候に応じて服装を選ぶ。,5 Choose clothes according to the weather.
"<b>~に応えて (~ni kotaete) - in response to, to meet</b>",<b>actions are taken to fulfill a request・meet expectation・address demands</b>
1 顧客の要望に応えて新商品を開発した。,1 Developed new products in response to customer requests.
2 ファンの期待に応えて、彼は素晴らしい演技を見せた。,2 He gave a great performance to meet the fans’ expectations.
3 社員の声に応えて、福利厚生を改善した。,3 Improved welfare benefits in response to employees’ voices.
4 世界的な需要に応えて、生産設備を拡大した。,4 Expanded production facilities to meet global demand.
5 アンケートの結果に応えて、サービスを改善する。,5 Improve services in response to survey results.
"<b>~に沿って (~ni sotte) - along, in accordance with</b>",<b>follows a certain path・route・direction・rule・plan・guideline・instruction</b>
1 川に沿って散歩する。,1 Take a walk along the river.
2 計画に沿って進める。,2 Proceed in accordance with the plan.
3 ルールに沿って行動する。,3 Act along the rules.
4 道に沿って家が建っている。,4 Houses are built along the road.
5 ガイドラインに沿って作業を行う。,5 Carry out work in accordance with the guidelines.
"<b>~に代わって (~ni kawatte) - on behalf of, instead of</b>",<b>substitute・replacement</b>
1 彼女に代わって、私がプレゼンテーションを行います。,1 I will do the presentation on her behalf.
2 病気の同僚に代わって、そのタスクを引き受けた。,2 Took over the task instead of a sick colleague.
3 社長に代わって、副社長が挨拶をした。,3 The vice president greeted on behalf of the president.
4 先生に代わって、助手が授業を行った。,4 The assistant conducted the class instead of the teacher.
5 彼に代わって、チームメートが試合に出場した。,5 A teammate played in the match in his place.
<b>~に比べて (~ni kurabete) - compared to</b>,<b>compare two things and highlight differences</b>
1 今年は去年に比べて雨が多い。,1 There is more rain this year compared to last year.
2 この車は他のモデルに比べて燃費が良い。,2 This car has better fuel efficiency compared to other models.
3 彼の作品は彼女のものに比べてシンプルだ。,3 His work is simple compared to hers.
4 今日は昨日に比べて暖かい。,4 Today is warmer compared to yesterday.
5 この地域は他地域に比べて物価が高い。,5 The cost of living in this area is high compared to other regions.
<b>~に加えて (~ni kuwaete) - in addition to</b>,<b>additional・supplementary information</b>
1 英語に加えて、彼女はフランス語も話せる。,"1 In addition to English, she can also speak French."
2 仕事に加えて、彼はボランティア活動もしている。,"2 In addition to his job, he also does volunteer work."
3 このレストランは美味しい料理に加えて、素晴らしい景色も楽しめる。,"3 In addition to delicious food, this restaurant also offers a wonderful view."
4 基本給に加えて、ボーナスが支給される。,4 A bonus is provided in addition to the basic salary.
5 雨に加えて、強風も予報されている。,"5 In addition to rain, strong winds are also forecasted."
"<b>~に反して (~ni hanshite) - contrary to, against, in violation to</b>",<b>opposite・contrary・in violation to what is expected・established norms</b>
1 予想に反して、彼は試験に合格した。,"1 Contrary to expectations, he passed the exam."
2 規則に反して、彼は禁止区域に入った。,2 He entered the prohibited area against the rules.
3 両親の意向に反して、彼女は芸術家になった。,"3 Contrary to her parents’ wishes, she became an artist."
4 天気予報に反して、晴れた日が続いている。,"4 Contrary to the weather forecast, it has been sunny."
5 一般的な見解に反して、その理論は正しかった。,"5 Contrary to popular belief, the theory was correct."
"<b>~において (~ni oite) - in, on, at, during</b>","<b>indicate the time, place, location or situation where something happens</b>"
1 会議は東京において開かれる。,1 The conference will be held in Tokyo.
2 現代社会において、情報の速さは重要である。,"2 In modern society, the speed of information is important."
3 彼はその分野において専門家だ。,3 He is an expert in that field.
4 この法律は日本において適用される。,4 This law is applied in Japan.
5 研究は大学において行われた。,5 The research was conducted at the university.
"<b>~にあたって (~ni atatte) - at the time of, when, upon</b>",<b>taking an action in anticipation of an event・at the time of some situation a change occurred<b>
1 新しいプロジェクトにあたって、彼はチームを組織した。,"1 Upon starting a new project, he organized a team."
2 出発にあたって、必要な書類を確認してください。,"2 Before departure, please check all the necessary documents."
3 試験にあたっては、静かにしてください。,3 Please be quiet during the examination.
4 会社を設立にあたって、多くの準備が必要だった。,4 A lot of preparation was needed in establishing the company.
5 彼女はスピーチにあたって緊張していた。,5 She was nervous about giving the speech.
"<b>~に基づいて (~ni motozuite) - based on, on the basis of</b>",<b>something is done according to a basis or standard</b>
1 この小説は実話に基づいて書かれている。,1 This novel is written based on a true story.
2 判断は事実に基づいて行われるべきだ。,2 Decisions should be made based on facts.
3 彼のアドバイスは経験に基づいている。,3 His advice is based on experience.
4 税金は収入に基づいて計算される。,4 Taxes are calculated based on income.
5 その報告は調査結果に基づいて作成された。,5 The report was created based on the survey results.
"<b>~に即して (~ni sokushite) - in accordance with, inline with, according to</b>",<b>express conformity with something or immediacy</b>
1 彼は規則に即して行動した。,1 He acted in accordance with the rules.
2 この計画は現状に即して考えられた。,2 This plan was considered in accordance with the current situation.
3 裁判は法律に即して行われる。,3 The trial is conducted in accordance with the law.
4 教育は時代の要求に即して変化する。,4 Education changes in accordance with the demands of the times.
5 彼女の服装は場面に即して選ばれる。,5 Her attire is chosen in accordance with the occasion.
"<b>~に従って (~ni shitagatte) - according to, following</b>",<b>compliance or accordance with something</b>
1 年齢に従って健康状態が変わる。,1 Health conditions change according to age.
2 規則に従って手続きを進めてください。,2 Please proceed with the procedures according to the rules.
3 季節に従ってファッションが変わる。,3 Fashion changes according to the season.
4 指示に従って避難してください。,4 Please evacuate according to the instructions.
5 需要に従って生産量を調整する。,5 Production volume is adjusted according to demand.
"<b>~につれて (~ni tsurete) - as, along with</b>",<b>show change that occurs in conjunction with another change・parallel progression</b>
1 子供が成長するにつれて学費が増える。,"1 As the child grows, the cost of education increases."
2 時間が経つにつれて記憶が薄れる。,"2 As time passes, memories fade."
3 技術が進歩するにつれて生活が便利になる。,"3 As technology advances, life becomes more convenient."
4 練習を重ねるにつれて上達する。,"4 As one practices, they improve."
5 会話が進むにつれて彼女はリラックスした。,"5 As the conversation progressed, she relaxed."
"<b>~を伴う (~o tomonau) - involves, accompanies, accompanied by</b>",<b>something that comes with or involves another thing</b>
1 この仕事はリスクを伴う。,1 This job involves risks.
2 成功は努力を伴うものだ。,2 Success involves effort.
3 操作は注意を伴う必要がある。,3 The operation requires caution.
4 彼の決定は大きな変化を伴う。,4 His decision brings significant changes.
5 その治療は副作用を伴う可能性がある。,5 The treatment may have side effects.
<b>~に伴う (~ni tomonau) - accompanying</b>,<b>something happens as a consequence of another thing</b>
1 経済成長に伴う社会の変化には、多くの挑戦が含まれています。,1 The social changes accompanying economic growth include many challenges.
2 新技術の導入に伴うコストの増加を、どのようにしてカバーすべきか考えなければなりません。,2 We must consider how to cover the increased costs associated with the introduction of new technology.
3 人口の増加に伴う住宅問題は、都市計画において重要な課題の一つです。,3 Housing issues associated with population growth are one of the important challenges in urban planning.
4 彼女の昇進に伴う責任の増大は、彼女にとって新たな試練となるでしょう。,4 The increased responsibilities accompanying her promotion will be a new challenge for her.
5 地球温暖化に伴う気候変動は、世界中の生態系に影響を与えています。,5 Climate change associated with global warming is affecting ecosystems around the world.
"<b>~に伴って (~ni tomonatte) - with, along with, accompanying</b>",<b>something happens simultaneously with another action or situation・accompaniment</b>
1 経済成長に伴って環境問題が増加する。,1 Environmental issues increase along with economic growth.
2 人口増加に伴って住宅需要が高まる。,2 Housing demand increases along with population growth.
3 昇進に伴って責任が重くなる。,3 Responsibilities increase along with promotion.
4 技術革新に伴って新しい職種が生まれる。,4 New job types emerge along with technological innovation.
5 年齢に伴って健康に気をつける必要がある。,5 One needs to be more attentive to health with age.
"<b>~とともに (~to tomoni) - together with, as well as</b>",<b>express doing something together or simultaneously</b>
1 彼は家族とともに引っ越した。,1 He moved along with his family.
2 春とともに花が咲く。,2 Flowers bloom along with spring.
3 彼女は笑顔とともに部屋に入った。,3 She entered the room with a smile.
4 新年とともに新しい希望が生まれる。,4 New hopes arise with the new year.
5 彼は成功とともに多くの友人を得た。,5 He gained many friends along with success.
<b>~あっての (~atte no) - exists because of</b>,<b>something exists because of the presence of something else・plays a key or vital role or part</b>
1 あなたあっての私なんです。,1 You are the reason I am who I am.
2 子供あっての我が家である。,2 Our home is complete because of our children.
3 平和あっての発展だ。,3 Development is possible because of peace.
4 お客様あっての商売です。,4 Business exists because of customers.
5 信頼あっての関係です。,5 The relationship is built on trust.
"<b>~とあって (~to atte) - because, since, as</b>","<b>given a certain situation or condition, it is natural to expect a certain result</b>"
1 試験前日とあって、学生たちは皆緊張している。,"1 As it’s the day before the exam, all students are nervous."
2 記念日とあって、レストランは予約でいっぱいだ。,"2 Since it’s an anniversary, the restaurant is fully booked."
3 大セールとあって、店内は大混雑だった。,"3 With the big sale, the store was very crowded."
4 有名な歌手が来るとあって、チケットはすぐに売り切れた。,"4 Since a famous singer is coming, the tickets sold out quickly."
5 新商品発売日とあって、行列ができている。,"5 As it’s the release day of a new product, there’s a line."
"<b>~とあれば (~to areba) - if it is the case that, in case</b>",<b>hypothetical situation that would lead to a certain action or result</b>
1 彼が来るとあれば、私も行きます。,"1 If he is going, I will go too."
2 ぜひにとあれば仕方がない。,"2 If you must, you must."
3 この条件とあれば、断る理由がない。,"3 If these are the conditions, there’s no reason to refuse."
4 そんなに重要なら、急ぎます。,"4 If it’s that important, I’ll hurry."
5 誰もが参加するとあれば、私も参加しよう。,"5 If everyone is participating, I will too."
"<b>~にあって (~ni atte) - in, at, under</b>","<b>being in a certain state, condition or time・emphasizes the circumstances surrounding an event or situation</b>"
1 緊急事態にあっても、彼女は冷静だった。,"1 Even in an emergency, she remained calm."
2 戦時にあっては、多くのものが制限される。,"2 In wartime, many things are restricted."
3 経済危機にあって、その国は困難に直面している。,"3 In an economic crisis, the country is facing difficulties."
4 変革の時代にあって、新しい技術が求められる。,"4 In an era of change, new technologies are required."
5 平和な時代にあって、我々は幸福を享受できる。,"5 In a time of peace, we can enjoy happiness."
<b>~から~にかけて (~kara ~ni kakete) - from~to</b>,"<b>indicates a range, either in terms of time or space from one point to another</b>"
1 今晩から明日にかけて、雨が降るでしょう。,1 It will rain from this evening to tomorrow.
2. 夏から秋にかけて、気候が変わる。,2 The climate changes from summer to autumn.
3 北海道から九州にかけて、桜の開花が報告されている。,3 Cherry blossoms are being reported from Hokkaido to Kyushu.
4 会議は午前中から午後にかけて続いた。,4 The meeting continued from the morning through the afternoon.
5 彼は若い頃から老年期にかけて、多くの作品を残した。,5 He left many works from his youth through his old age.
"<b>~にわたって (~ni watatte) - throughout, over, across</b>",<b>an extent or duration over a certain period or area</b>
1 3日間にわたって祭りが開催される。,1 The festival will be held over three days.
2 このプロジェクトは数年にわたって続いた。,2 This project continued for several years.
3 展示会は広い会場にわたって行われた。,3 The exhibition was held across a large venue.
4 彼の影響は世界中にわたって及んだ。,4 His influence extended worldwide.
5 調査は全国にわたって実施された。,5 The survey was conducted nationwide.
"<b>~に至る (~ni itaru) - to lead up to, to come to</b>",<b>a process that leads to a certain point・stage・result・outcome</b>
1 話し合いに至るまでの経緯を教えてください。,1 Please tell me the background leading up to the discussion.
2 病気が治るに至るまで、彼女は一生懸命に治療を続けた。,2 She continued her treatment diligently until she recovered.
3 この問題は解決に至ることはなかった。,3 This issue never came to a resolution.
4 交渉は最終的に合意に至る。,4 The negotiations will ultimately lead to an agreement.
5 研究は重要な発見に至る。,5 The research leads to an important discovery.
"<b>~に至って (~ni itatte) - upon reaching, upon leading to, at the point of</b>",</b>indicate a point that has been reached often emphasizing the extremity or significance of the situation</b>
1 事態は最悪の状況に至ってしまった。,1 The situation has reached the worst possible state.
2 交渉は決裂に至ってしまった。,2 The negotiations have reached a breakdown.
3 彼女の病状は手術が必要に至っている。,3 Her condition has reached the point where surgery is necessary.
4 この問題は国際的な注意に至っている。,4 This issue has reached international attention.
5 経済の低迷は失業率の上昇に至っている。,5 The economic downturn has led to an increase in unemployment rates.
"<b>~に至っては (~ni itatte wa) - when it comes to, as for</b>",<b>present the most extreme example within a specific category often with a negative connotation</b>
1 彼は勉強もできるが、スポーツに至っては県代表クラスだ。,"1 He is good at studying, but when it comes to sports, he is at the level of a prefectural representative."
2 このレストランはサービスも良いが、料理に至っては絶品だ。,"2 This restaurant has good service, but as for the food, it’s exceptional."
3 彼女は普段は冷静だが、あの話題に至っては怒りを隠せない。,"3 She is usually calm, but she can’t hide her anger when it comes to that topic."
4 会社は利益を上げているが、経営の透明性に至っては問題がある。,"4 The company is making a profit, but there are issues with management transparency."
5 彼はいつも遅刻するが、今日に至っては会議に現れなかった。,"5 He is always late, but today he did not show up for the meeting."
"<b>~と相まって (to aimatte) - together with, in combination with, coupled with</b>",<b>two or more factors have a synergistic effect or influence on something</b>
1 雨と相まって、交通事故が多発した。,"1 Due to the rain, there were many traffic accidents."
2 風邪と相まって、熱が出た。,"2 I got a fever, combined with a cold."
3 美しい声と相まって、彼女の歌は人々を感動させた。,"3 Her song moved people, together with her beautiful voice."
4 彼の努力と相まって、彼の才能が成功をもたらした。,"4 His efforts, combined with his talent, brought success."
5 新鮮な食材とシェフの技術が相まって、素晴らしい料理が生まれます。,5 Fresh ingredients and the chef's skill combine to create great food.
"<b>~をもって (~o motte) - with, by, by means of</b>","<b>indicate the means, method, standard or time of something</b>"
このメール をもって、私はあなたとの契約を解除します。,1 I hereby terminate the contract with you by this email.
彼は自分の知識 をもって、問題を解決した。,2 He solved the problem with his own knowledge.
今日 をもって、私はこの会社を辞めます。,3 I will quit this company as of today.
この証拠をもって彼の無実を証明します。,"4 With this evidence, we prove his innocence."
この技術をもって、新しい時代の幕開けとなるでしょう。,"5 With this technology, a new era will dawn."
"<b>~をもってすれば (~o motte sureba) - if one has, if the case that one has, if having, with</b>",<b>show the condition or requirement for something to be possible or accomplished</b>
1 勇気 をもってすれば 、何でもできる。,"1 If one has courage, one can do anything."
2 この本をもってすれば、日本語の勉強が楽になる。,"2 With this book, studying Japanese will become easier."
3 証拠 をもってすれば 、彼の無実を証明できる。,"3 With evidence, we can prove his innocence."
4 あなたの経験をもってすれば、この問題は解決できるはずです。,4 With your experience you should be able to solve this problem.
5 彼の支援をもってすれば、プロジェクトは成功する可能性が高いです。,"5 With his support, the project has a good chance of success."
<b>~をもってしても (~o motte shitemo) - even with</b>,"<b>shows that even with a certain means or condition, something is not necessarily guaranteed</b>"
1 最新の医療をもってしても、治せない病気がある。,1 Some diseases cannot be cured even with the latest medical treatment.
2 最新の技術をもってにしても、その問題は解決できないことがある。,"2 Even with the latest technology, some problems cannot be solved."
3 彼女の才能をもってにしても、成功は保証されていない。,"3 Even with her talent, success is not guaranteed."
4 あの有名な教授の推薦状をもってにしても、大学への入学は難しい。,"4 Even with the letter of recommendation from the famous professor, it is difficult to get into the university."
5 このチームの実力をもってにしても、勝利は簡単ではないだろう。,"5 Even with this team's ability, winning will not be easy."
"<b>~を込めて (~o komete) - with, putting, including, loading, filled with</b>","<b>show the feeling, emotion or intention that is expressed or conveyed by something</b>"
1 愛情 を込めて、手紙を書いた。,I wrote the letter with love.
2 力を込めて、ボールを投げた。,I threw the ball with all my might.
3 祈りを込めて、花を供えた。,I offered flowers with flowers
4 平和への願いを込めて、この歌を作りました。,I wrote this song with a wish for peace.
5 故郷への思いを込めて、その曲を作ったそうだ。,He wrote that song with a wish for his hometown.
"<b>~ときたら (~to kitara) - speaking of, when it comes to</b>","<b>express dissatisfaction, criticism, surprise or exasperation・highlight a characteristic</b>"
1 彼ときたら 、約束を守らないから困る。,"1 That guy, he doesn’t keep his promises, so it’s troublesome."
2 この店ときたら、値段は高いし、味も悪いし、最悪だ。,"2 This shop, the prices are high and the taste is bad, it’s the worst."
3 この問題ときたら 、難しすぎて解けない。,"3 This problem, it’s too difficult to solve."
4 彼女の料理ときたら、いつも美味しい。,4 Her cooking is always delicious.
5 このパソコンときたら、よくフリーズする。,5 This computer often freezes up.
"<b>~はもちろん (~wa mochiron) - not only but also, as well as, of course</b>",<b>show that something is obvious or natural and then add something else that is also true or related</b>
1 彼は日本語はもちろん 、英語や中国語も話せる。,"1 He can speak not only Japanese, but also English and Chinese."
2 このゲームはもちろん 、楽しいし、勉強にもなる。,2 This game is of course fun and educational.
3 彼女はもちろん 、美人だし、頭もいい。,"3 She is, of course, beautiful and smart."
4 彼はピアノはもちろん、ギターも弾ける。,4 He can play the piano as well as the guitar.
5 このレストランは味はもちろん、雰囲気も素晴らしい。,5 This restaurant has great taste and a wonderful atmosphere.
"<b>~はもとより (~wa motoyori) - not only but also, as well as, let alone</b>",<b>show that something is obvious or natural and then add something else that is also true or related</b>
1 彼は日本人はもとより、外国人からも尊敬されている。,"1 He is respected not only by Japanese people, but also by foreigners."
2 この本はもとより、彼の書いたすべての本が好きだ。,"2 I like not only this book, but also all the books he wrote."
3 この店はもとより、この町のすべての店が閉まっている。,"3 Not only this shop, but also all the shops in this town are closed."
4 この店は価格はもとより、品質にも自信があります。,"4 This store is not only confident in its prices, but also in its quality."
5 この地域は歴史はもとより、自然も豊かだ。,5 The region is rich in nature as well as history.
"<b>~はおろか (~wa oroka) - let alone, not to mention</b>",<b>show that something is unthinkable or impossible and then add something else that is more likely or possible</b>
1 彼は漢字はおろか、ひらがなも書けない。,"1 He cannot write hiragana, let alone kanji."
2 彼女は歌 はおろか、話すこともできない。,"2 She cannot sing, let alone speak."
3 この国はおろか、世界中でこの病気が流行っている。,"3 The disease is prevalent all over the world, let alone in this country."
4 この問題は大人はおろか、子供にも理解できない。,"4 This issue is incomprehensible to children, let alone adults."
5 彼は敬語はおろか、簡単な日本語さえできない。 ,"5 He cannot even speak simple Japanese, let alone honorifics. "
"<b>~というより (~toiu yori) - rather than, more than</b>",<b>show that something is more appropriate or accurate than something else</b>
1 彼は友達というより、兄のような存在だ。,1 He is more like a brother than a friend.
2 これはケーキというより 、パンだ。,2 This is more like bread than cake.
3 彼女は怒っているというより、悲しんでいる。,3 She is more sad than angry.
4 今日は涼しいというより寒いくらいだった。,4 Today was more on the cold side rather than cool.
5 この料理は美味しいというより、素晴らしい。,5 This dish is more wonderful rather than just tasty.
"<b>~たりとも~ない (~taritomo~nai) - not even, not a single</b>",<b>show that something is absolutely not true or possible even to the smallest degree</b>
1 一分たりとも無駄にできない。,1 I cannot waste even a minute.
2 一円たりとも払いたくない。,2 I don’t want to pay even a yen.
3 一言たりとも言わないでください。,3 Please don’t say a single word.
4 彼は一日たりとも、学校を休んだことがない。,4 He has never missed even a day of school.
5 この試験に一点たりとも失点したくない。,5 I don’t want to lose even a point on this exam.
"<b>~を通じて (~wo tsuujite) - through, via, by means of</b>",<b>an experience or a change that occurs over a period of time or through a series of events</b>
1 彼はインターネットを通じて彼女に出会った。,1 He met her through the internet.
2 この本を通じて日本の文化について学びました。,2 I learned about Japanese culture through this book.
3 私は音楽を通じて自分の感情を表現します。,3 I express my feelings through music.
4 彼らは手紙を通じて連絡を取り合っている。,4 They keep in touch through letters.
5 このプロジェクトを通じて多くのことを学びました。,5 I learned a lot through this project.
"<b>~を通して (~wo tooshite) - through, throughout, during</b>",<b>medium or method by which something is done or conveyed</b>
1 窓を通して外の景色が見える。,1 I can see the outside scenery through the window.
2 彼は一年を通して毎日走っている。,2 He runs every day throughout the year.
3 私は友人を通して彼に紹介された。,3 I was introduced to him through a friend.
4 彼女は電話を通して彼の声を聞いた。,4 She heard his voice through the phone.
5 彼はメガネを通して本を読んでいる。,5 He is reading a book through his glasses.
"<b>~のもとで (~no moto de) - under, in, with</b>","<b>an action or state that takes place under certain conditions, supervision, guidance or a specific environment</b>"
1 私は彼の指導のもとで勉強しています。,1 I am studying under his guidance.
2 彼らは平和のもとで暮らしたいと思っている。,2 They want to live in peace.
3 この橋は有名な建築家の設計のもとで建てられた。,3 This bridge was built with the design of a famous architect.
4 私は彼女の助けのもとでこの仕事を終えることができた。,4 I was able to finish this work with her help.
5 彼は厳しい規則のもとで育った。,5 He grew up under strict rules.
"<b>~のもとに (~no moto ni) - under, based on</b>",<b>express the basis or foundation upon which something is done or established</b>
1 彼の指導のもとに、チームは成功を収めた。,"1 Under his guidance, the team achieved success."
2 その計画は彼の提案をもとに始まった。,2 The plan started based on his proposal.
3 この映画は実話をもとに制作されました。,3 This movie was produced based on a true story
4 彼は先生のもとに行って質問した。,4 He went to the teacher and asked a question.
5 この小説は実際の事件をもとに書かれた。,5 This novel was written based on an actual event.
"<b>~にもまして (~ni mo mashite) - more than, above all</b>",<b>something exceeds or surpasses another thing in degree or extent</b>
1 彼は勉強にもましてスポーツが好きだ。,1 He likes sports more than studying.
2 私はお金にもまして幸せが欲しい。,2 I want happiness more than money.
3 彼女は誰にもまして歌が上手だ。,3 She sings better than anyone else.
4 彼は自分にもまして家族を大切にしている。,4 He values his family more than himself.
5 私は彼にもましてあなたを愛している。,5 I love you more than him.
"<b>~にかかわる (~ni kakawaru) - to concern, to affect, to involve</b>",<b>something has relevance or a connection to the subject in question</b>
これはあなたの将来にかかわる問題です。,1 This is a problem that concerns your future.
彼は政治にかかわる仕事をしている。,2 He is doing a job that involves politics.
私は彼のことにかかわりたくない。,3 I don’t want to get involved with him.
この事件にかかわる人物を探しています。,4 I am looking for the person who is involved in this case.
あなたの意見はこの話にかかわりません。,5 Your opinion does not affect this story.
"<b>~にかけては (~ni kakete wa) - when it comes to, as for, regarding, in terms of</b>",<b>when it comes to a certain topic or field・the subject has a particular strength or notable quality</b>
1 彼は料理にかけてはプロ並みだ。,1 He is a professional when it comes to cooking.
2 私は英語にかけては自信がありません。,2 I am not confident when it comes to English.
3 彼女はファッションにかけては誰にも負けない。,3 She is unbeatable when it comes to fashion.
4 彼は勉強にかけては一生懸命だが、成績はあまりよくない。,4 He is very hardworking when it comes to studying but his grades are not very good.
5 私は音楽にかけては何でも知っている。,5 I know everything when it comes to music.
"<b>~にして (~ni shite) - as, for being, at the time of・not only but also</b>",<b>sets up a condition or state for the subject・an event happens after coming to such level</b>
1 その仕事にしては給料が低い。,1 The salary is low for that job.
2 幸いにして大事に至らずにすんだ。,"2 Fortunately, it was not serious."
3 彼は若者にしてはとても落ち着いている。,3 He is very calm for a young person.
4 この問題はあなたにしては簡単すぎる。,4 This problem is too easy for you.
5 彼女は女優にして歌手でもある。,5 She is an actress and also a singer.
"<b>~はともかく (~wa tomokaku) - leaving aside, apart from, setting aside</b>",<b>mentioned aspect as secondary or less important</b>
1 彼の性格はともかく、彼は優秀な学生だ。,"1 Leaving aside his personality, he is an excellent student."
2 値段はともかく、この車はとても快適だ。,"2 Apart from the price, this car is very comfortable."
