Expression,Meaning,Usage,Example
折に,at the time of・on the occasion of,Used with verbs to indicate a specific or rare occasion. Favorable occasion: Negative phrasing usually does not follow.,"父が死んだ折に、遺言を見つけた。 <br>I found the will at the time of my father’s death."
際に,when・at the time of・in the case of,Used with verbs to indicate a situation or condition that occurs simultaneously or consequentially with another event.,"雨が降った際には、傘を持ってください。 <br>Please take an umbrella when it rains."
に際して,on the occasion of・at the time of,Used with nouns or verbs to indicate a formal or important occasion or situation. Not used when some event happens by coincidence.,"留学に際して、ビザを申請しなければならない。 <br>You have to apply for a visa on the occasion of studying abroad."
にあたって,at the time of・on the occasion of,Used with nouns or verbs to indicate a preparatory or anticipatory action or situation. Proactive posture toward some important event that requires resolve.,"試験にあたって、十分に勉強した。 <br>I studied enough at the time of the exam."
にあって,in・at・under・In the time of,"Used with nouns to indicate a location, situation, circumstance or special condition. Expression can be adversative or sequential.","彼は戦争中にあって、勇気を失わなかった。 <br>He did not lose courage in the war."
において,in・at・on,"Used with nouns to indicate a location, place or field. Describes places, scenes or conditions where something happens.","この会議において、重要な決定がなされた。 <br>An important decision was made at this meeting."
最中に,during・in the middle of ,Used with nouns to indicate an ongoing action or state. Indicates the peak of the thing or the most exciting time. Often used to describe being disturbed.,"映画の最中に、電話が鳴った。 <br>The phone rang in the middle of the movie."
つつ,while・as・although,Used with verbs to indicate a simultaneous or contradictory action or state. Same entity does two things at the same time.,"彼は笑いつつ、涙を流した。 <br>He cried while laughing."
て,and・after・because,"Used with verbs to indicate a sequence, continuation or cause of actions or states.","彼は本を読んで、眠った。 <br>He read a book and fell asleep."
たら,if・when・after,"Used with verbs to indicate a conditional, temporal or consequential relation between actions or states. Often conveys the volition, thoughts, opinions or advice.","雨がやんだら、散歩に行こう。 <br>Let’s go for a walk if the rain stops."
